Label,Text,stemmed_text
1,а я уже признаться подумал что ты сам еврей русофоб их у вас в украине много ан нет свидомый оказался ,признава подума евр русофоб украин ан свидом оказыва
0,что то для мвдшников и военных они хилые какие то ,мвдшник воен хил как
0,позорище какое ,позорищ как
1,это дура крашенникова сама дура и фашистка ,эт дур крашенник сам дур фашистк
1,хорошо соловей заливает ой не заливает а лапшу на уши вешает во лошара ,солов залива о залива лапш ух веша лошар
1,обосрался майдаун бэндеровцы геть до львова пляшки сбирати на вокзалі ,обсира майдаун бэндеровец гет львов пляшк сбира вокзалі
0,береза я орел ты похоже потерян для нормального общества наслаждайся люмпенами на телеканале россия там все правдиво по полочкам с фактами все тебе пережевал киселёв так что не надо своими мозгами шевелить все готово и упаковано готово для проглатывания ,берез орел похож потеря нормальн обществ наслажда люмп телекана росс правдив полочк факт ты пережевыва кисел сво мозг шевел готов упаковыва готов проглатыван
0,строителями ,строител
1,месяц не заходил в это болото ни чего не изменилось я думаю через два года зайду и все на месте на друг друга помои льете и болдеете какие вы пиздатые идите уже работать как хорошо жить в россии ,месяц заход эт болот изменя дума год зайт мест друг друг помо лит болдет как пиздат идт работа жит росс
0,у хохлов не плохо получается уничтожать самих себя продолжайте в том же духе настоящие европейцы ,хохл плох получа уничтожа сам продолжа дух настоя европеец
0,а зачем им жёлтые повязки чтобы лучше было видно и почему снайпер невнятную позицию занял снайперы работают далеко из за спин а не с передовой этот же продолжает лежать даже когда его прикрытие уже за его спиной и не ясно выстрел был из винтовки ведь звука не было это же не пневматическое ружьё тут ого го как должно бабахнуть ,желт повязк видн поч снайпер невнятн позиц занима снайпер работа далек спин передов продолжа лежа прикрыт спин ясн выстрел винтовк звук эт пневматическ руж ог го должн бабахнут
1, семен горбунков вообще то она родила даунёнка так и по делом ей ,сем горбунок вообщ рожа дауненк дел
0,ребята россия похоже очень боится что нас уведут в европпу по сути в этой територии мы полноценная нация этого никто не хочет и делят нас как могут на емоциях людей почему мы до сих пор выбираем где свои а где чужиые вместе мы просто никому не нужны почему на улицах эти титушки бьют молодых ребят привезеных из харкова вы не задумались при этом орут привет мы упа это новый формат войны как ещё поделить територию ,ребят росс похож очен боя увод европп сут територ полноцен нац никт хотет дел моч емоц человек поч се пор выбира сво чуж вмест прост никт нужн поч улиц титушк бит молод ребят привезен харк задумыва ора привет уп эт нов формат войн ещ подел територ
0, тоня город вы ненавидите россию за то что граждане крыма решили провести референдум на котором единогласно выразили свою волю и большая родина ответила им взаимностью мы не кого не пытаемся освободить но если русско язычное население юго востока попросит то мы опять врядли откажем интересно было бы послушать о многовековом геноциде вашего народа особенно если учитывать до никакой украины совсем небыло я бы на вашем месте признаки шизофрении поискал в другом месте в маниакальной ненависти к россии и ко всему русскому например ,тон город ненавидет росс гражданин крым реша провод референдум котор единогласн выража вол больш родин отвеча взаимност кто пыта освобожда русск язычн населен юг восток попрос врядл отказыва интересн послуша многовеков геноцид ваш народ особен учитыва никак украин неб ваш мест признак шизофрен поиска друг мест маниакальн ненавист росс ко ве русск например
1,шавка тут тільки ти це по перше по друге молдова не входить до єс і по третє польща вже декілька років у складі єс рівень життя там значно виріс ціни дешевше ніж в україні а зарплати вищі ,шавк тільки ти це перш друг молдов вход єс і третє польщ вже декільк років складі єс рівен житт значн виріс ціни дешевш ніж україні зарплат вищі
0,результат один дно молдова подымеца на второе место снизу ,результат дно молдов подымец втор мест сниз
1,а ты чё хотел сразу после революции миллионером стать шоб тебе на блюдечке бабла принесли неизвестно тебе что как говорят уёбки российские хотя и правда москва не сразу строилась че за нах сопли блин такое дело огромное провернули скинули не только гниду зековскую вороватую но и от ига гребаного высасывающего все ресурсы из украины отделались к цивилизации движемся да не сразу или ты хотел и дальше тупеть и гнить по совковским законам газ уже есть и будет дальше россия стала на колени после того как ей показали ее развитую экономику на нефти обычная сырьевая база как отсталые страны третьего мира только ленивый этого не замечает нас понял и поддержал адекватный мир баблом помогают и нехило так всё будет ок главное чтоб зараза эта трехцветная от украины отъебалась и нехер ныть тут ,че хотет сраз революц миллионер станов шоб ты блюдечк бабнут принос неизвестн ты говор уебк российск хот правд москв сраз стро че нах сопл блин так дел огромн проворачива скидыва гнид зековск вороват иг гребан высасыва ресурс украин отделыва цивилизац двига сраз хотет далек тупет гнит совковск закон газ далек росс станов кол показыва развит экономик нефт обычн сырьев баз отстал стран трет мир ленив замеча понима поддержива адекватн мир бабл помога нехил все ок главн зараз этот трехцветн украин отъеба нехер ныт
0,жити по совісті та по закону ,жит совісті тот закон
1,сдох да и хуй с ним ,сдыха ху
1,на рукаве знак правого сектора самые отморозки радикалов переоделись в форму беркута провокаторы долбанные ,рука знак прав сектор сам отморозок радика переодева форм беркут провокатор долба
1,беркут молодцы смотрите не отдельные ролики а хотя бы с декабря сколько у ребят выдержки сколько их пидарасы в масках провоцировали у любого другого бы крыша поехала а этим пидарасам в масках чуть пиздюлей дали так сразу заревели толпой все мастера вообще пацаны их используют как пушечное мясо беркут давал присягу а их предали у себя дома во львове ставили на колени заставляли просить прощение а кто у них прощения попросил в правовом государстве правит закон а не сашки белые или черные ,беркут молодец смотрет отдельн ролик хот декабр скольк ребят выдержк скольк пидарас маск провоцирова люб друг крыш поеха этот пидарас маск пиздюл дава сраз заревет толп мастер вообщ паца использова пушечн мяс беркут дава присяг предава дом львов став кол заставля прос прощен прощен попрос правов государств прав закон сашк бел черн
0,слава украині мняу мняв героям слава хрю хрю ,слав украині мня мняв гер слав хрю хрю
0,ну и чо делать теперь в банках бабло не дают банкоматы выключены ,чо дела банк бабл дава банкомат выключа
0,если начнут вас пи ть киевляне будите пишкы драпать аж за карпаты до своих хазяев какие уж не раз отсюда бегали историю учить надо было ,начина пи т киевлянин буд пишк драпа аж карпат сво хазя как отсюд бега истор уч
0,бьют людей на счет людей он это очень сильно преувеличил ,бит человек счет человек эт очен сильн преувеличива
1,мразь соловьев круто раскрыл в конце передачи сущность хакабляди ,мраз солов крут раскрыва конец передач сущност хакабляд
0,только больной может это постить или не больной а мозгодел подтасовывающий понятия видос поставлен что бы вы клонировали свою ненависть а завтра ею воспользуются все теже кто срежессировал кровавый майдан ,больн эт пост больн мозгодел подтасовыва понят видос поставля клонирова ненавист завтр он воспользова теж срежессирова кровав майда
0,по поводу востока кто не в курсе добыча угля всегда дотировалось из бюджета государства это значит что тонна угля стоит очень мало чтоб оплатить труд шахтёра то есть шахтёрам из бюджета всегда доплачивалось не только из продажи угля а и из бюджета который пополняет вся страна включая запад прото все резко забыли про середину х когда люди на донбасе сами добывали уголь но его стоимость настолько мала что не хватало чтоб даже минимально себя обеспечить так что без западной и центральной украине донбас никто и ни что большинство предприятий давно работают на газе только котельные используют уголь в англии теччер не зря закрыла в своё время все шахты потому что именно они высасывали деньги из бюджета страны не окупаясь своим продуктом и англия закупала уголь в других странах где была более дешевая технология добыча кажется открытым методом ,повод восток курс добыч угол дотирова бюджет государств эт знач тон угол стоя очен мал оплачива труд шахтер шахтер бюджет доплачива продаж угол бюджет котор пополня ве стран включ запад прот резк забыва середин х человек донбас сам добыва угол стоимост настольк маленьк хвата минимальн обеспечива западн центральн украин донбас никт большинств предприят давн работа газ котельн использова угол англ теччер зря закрыва сво врем шахт имен высасыва деньг бюджет стран окупа сво продукт англ закупа угол друг стран дешев технолог добыч кажет открыт метод
1,мусора пидарасы ,мусор пидарас
0,только когда у вас что то случится так вы сразу к ментам а тут прям гейрои привет из бердянска ,случа сраз мент прям гейр привет бердянск
0,ирина при всем моём уважении и моей любви к японцам вы самый отвратительный их представитель вас в правительстве меньшинство потому что вы истеричка зацикленная на противоположенной позиции от рационально и логически правильной объясню вы суете руку в мясорубку и думаете что на самом деле может так будет правильнее может на самом деле надо туда её засовывать в обход инстинкту самосохранения и в обход логики когда эта мысль приходит в голову а не просто остаться бездейственным я делаю для государства намного больше чем вы я соблюдаю базовые законы этики хожу на голосования помогаю людям когда вижу что они в этом нуждаются не финансово иногда хочется сказать что правительство плохо заботиться о своих гражданах но понимаешь что это только недоработки заслуги гос думмы ,ирин все мо уважен мо любов японец сам отвратительн представител правительств меньшинств истеричк зацикл противополага позиц рациональн логическ правильн объясня сует рук мясорубк дума сам дел правильн сам дел туд он засовыва обход инстинкт самосохранен обход логик этот мысл приход голов прост остава бездействен дела государств намн соблюда базов закон этик ход голосован помога человек видет нужда финансов хотет сказа правительств плох забот сво гражданин понима эт недоработк заслуг гос думм
1,а украинцев мало волнует что там майданцы хотят а народ они спросили ,украинец мал волнова майданец хотет народ спрашива
0, пламя жажды ну как пламя утолили жажду ,пламен жажд пламен утоля жажд
1, денис кравец ты урод он в армию призван срочником он здесь причем ,денис кравец урод арм призва срочник прич
0,шістьом фашистам не сподобалось відео нелайк що правда очі коле нелюди ,шістьом фашист сподоба віде нелайк що правд очі кол нелюд
0,зачем же меня к украине приписывать я крымчанин ,украин приписыва крымчанин
1,россияне идите нахуй что за комменты не хочу иметь с вами ничего общего проросиськое быдло ,россиянин идт нах коммент хотет имет вы общ проросиськ быдл
0,крутая песня ,крут песн
1,щоб кожний беркутівець став імпотентом уроди ,щоб кожн беркутівет^ станов імпотент урожда
0,бити януковича азірова рігоанальних продажних псів ,бит янукович азіров рігоанальн продажн псів
1,отделить бендерштат и пусть пиздуют в европу восток соединится с россией ,отделя бендерштат пуст пиздува европ восток соединя росс
0,молодець беркут на його фоні жирні свині хотіли його опустити а опустили себе як після такого вони дивляться людям в очі ,молодет^ беркут й фоні жирні свині хотіл й опустит опуска як після так вон дивля человек очі
0, на шпиль здания повесили беларуский флаг ,шпил здан повес беларуск флаг
1,а в результате такой пидар как я цел а он здох ,результат пидар цел здох
0,да да главное чтобы у соседа корова сдохла а вы геройствуйте дальше за клавиатурой ,главн сосед коров сдыха геройствова далек клавиатур
1,мусора синежопому пахану готовы очко лизать фу у суки ,мусор синежоп паха готов очк лиза фу сук
0,а почему не сто станкача о о ,поч сто станкач
0,а куда звук делся есть со звуком ,звук дева звук
1,проблема в тому що ви рішили нічого неробити а будете ждати поки за вас все зроблять і скажуть ти будеш там жопу рвати і х й будеш мати я уряд я так сказав заре вже не союз срср тут своє відстоювати треба бо свого мати небудеш ,проблем тот що ви рішил нічог нероб быт ждат пок зробля і скажут ти будеш жоп рват і х й будеш мат уряд сказа зар вже союз срср своє відстоюват треб бо свог мат небудеш
0,кто там лидер то ,лидер
0,слава украине ,слав украин
0,а хакамада аргументами то что крашенинникова принесла кг макулатуры и сказала что её никто не читал это конечно факт но она практически не ответила ни на один не удобный вопрос в отличие от хакамады ,хакамад аргумент крашенинник принос кг макулатур сказа он никт чита эт факт практическ отвеча удобн вопрос отлич хакамад
1,иди ка ты ко всем хуям анус мы тут без тебя разберёмся что нам делать ,идт ка ко ве ху анус разбира мы дела
1,сосед пошел по гривен платили а так пофиг политиканы все равно кинут а так хоть на пивко будет ,сосед пойт гривн плат пофиг политика равн кинут пивк
1,мало блядь надо было боевыми ,мал бляд боев
1, дарья соловьевагрубо троллишь соска путинская ,дар соловьевагруб тролл сосок путинск
0, святослав ивашовкогда был жистокий разгон как показано на видео тогда никаких еще коктейлей молотова не было ,святосла ивашовкогд жисток разгон показыва виде никак коктейл молот
0,и че менты с оружием хмм никогда не видели раньше ,че мент оруж хмм видет ран
0,я вижу вы по всей видимости никогда в реальной жизни не сталкивались с теми кому сейчас кричите браво это все равно что оказаться в окружении голодных неадекватных гиен удовольствие не из приятных ,видет ве видим реальн жизн сталкива тот кто крича брав эт равн оказыва окружен голодн неадекватн ги удовольств приятн
0,вы зря считаете что русский язык в киеве импортный он отсюда есть пошел ,зря счита русск язык ки импортн отсюд пойт
1,всу вообще на приказы срать так то ,всу вообщ приказ срат
1,допизделся янык что хотел то и получил ,допиздет янык хотет получа
1,смерть западенским фашикам ,смерт западенск фашик
1,наталка берендович петух по руски городишь ,наталк берендович петух русок город
1,и снова овец загнали в стойло я вас витаю браты окраинцы ,снов овц загна стойл вита брат окраинец
0,безобразие нужно немедленно вводить евростандарты смотреть стыдно не спецназ а толпа гопников другое дело в европе и перцовым газом и слезоточивым для начала потом шумовые гранаты затем рассекли толпу выхватили самых буйных штук пятьсот ручки стяжкой прихватили двое выносят четверо прикрывают на худой конец бронетехникой прошлись из водяной пушки окатили и никаких тебе рассечений ту же в неподкупный суд тут же по закону пару тысяч евро штраф ,безобраз нужн немедлен ввод евростандарт смотрет стыдн спецназ толп гопник друг дел европ перцов газ слезоточив нача шумов гранат зат рассека толп выхватыва сам буйн штук пятьсот ручк стяжк прихватыва дво вынос четвер прикрыва худ конец бронетехник проход водян пушк окачива никак ты рассечен тот неподкупн суд закон пар тысяч евр штраф
0,да у нас действительно всё хреново простым людям очень тяжело попираются и пересматриваются моральные принципы пропасть между богатыми и нищими именно нищими душой и телом увеличивается как при землетрясении власть только заробатывает деньги уже даже не скрывая этого продажные иуды ,действительн все хренов прост человек очен тяжел попира пересматрива моральн принцип пропада богат нищ имен нищ душ тел увеличива землетрясен власт заробатыва деньг скрыва продажн иуд
1,леша ионов пидаора в зеркале увидешь ,леш ион пидаор зерка увидеш
1,сеня семенов роты автоматчиков бы хватило и пары снайперов все равно обвинили а тут ублюдки бы точно знали что балаклава не поможет от пули ,сен семен рот автоматчик хват пар снайпер равн обвиня ублюдок точн знат балаклав помога пул
0,украинцы не поддавайтесь на антиукраинские провокации некоторых украинских и российских политиков которые ведут к расколу нашей с вами страны украина да было время украинцы были врагами но сейчас нужно забыть негативные уроки истории восток подаст руку западу воин вов подаст руку воину упа давайте объединять украину борясь против воров у власти бесчинства ментов корупции чиновников хуже уже некуда украина предпоследняя страна по благосостоянию в европе ,украинец поддава антиукраинск провокац некотор украинск российск политик котор вест раскол наш вы стран украин врем украинец враг нужн забыва негативн урок истор восток подава рук запад воин вов подава рук воин уп дава объединя украин борот прот вор власт бесчинств мент корупц чиновник плох некуд украин предпоследн стран благосостоян европ
0,так и должно быть ,должн
0,различающие повязки правого сектора у силовиков стволы кот сняты с вооружения и именно такие кот разграбили со складов во львове кроссовки и туфли вместо берцев где логика ,различа повязк прав сектор силовик ствол кот снима вооружен имен так кот разграб склад львов кроссовок туфл вмест берец логик
1,долбаеб ты ,долбаеб
0,эх недобитые танцуйте пляшите и ждите когда европа вас кормить будет а что же вы в клип не вставили кадры горящего беркута не видно нуланд и маккейна ,эх недобит танцева пляса ждат европ корм клип вставля кадр горет беркут видн нуланд маккейн
1,пошли в жопу радикалы еб чие с первого дня надо было по вам боевыми стрелять и сгребать будьдозерами ,пойт жоп радика еба чи перв ден боев стреля сгреба будьдозер
0,у тебя не то что мозги даже логика не работает клиника ,мозг логик работа клиник
0,за что фашистская опозиция за полученные деньги срочно устроила провокацию на майдане причем все три казака спрятались как зайцы кто побит какие дети где фамилии кого похоронили что за бред украинцы на майдане за гривен в день продают украину под вывеской свободы позор лже героям предателям ,фашистск опозиц получа деньг срочн устраива провокац майда прич казак спрята заяц побива как ребенок фамил кто похорон бред украинец майда гривн ден продава украин вывеск свобод позор лже гер предател
0,українському народові оголосили війну ,українськ народові оголос вийн
0, олег вяткин я за відмову від ядерної зброї всім світом але так як відмова часткова то краще було залишити вдруг що а за те що було хороше да дійсно було ,олег вяткин відмов від ядерної зброї всім світом ал як відмов частков кращ бул залишит що тот що бул хорош дийсн бул
1,и на что сейчас смотреть ты явно не понимаешь во что ввели страну эти дауна что вели революцию причем они ложили на всех кто на майдане кто в стране в целом ,смотрет явн понима ввод стран даун вест революц прич лож майда стран цел
0,не люблю реп полюбил ,люб реп полюб
0,что разве это неправда от повторения истона не тускнеет ,эт неправд повторен истон тускнет
1, алексей алексеев точно и пойдём в гейропу ,алекс алексе точн пойт гейроп
0,сами виноваты а теперь ловите свинец ,сам виноват лов свинец
0,а из чего следует тип боеприпаса и цель в кадре нет демонстрации этих моментов любезно вынесенных в название ,следова тип боеприпас цел кадр демонстрац этот момент любезн вынест назван
0,влада не пішла на застосування сили значить провокація пройшла даремно ,влад пішла застосуван сил знач провокац пройшл даремн
1,долбоеб ,долбоеб
0,хорошая песня жалко украину можем и не выстоять в целостности раскол будет ,хорош песн жалк украин моч выстаива целостн раскол
0,хорошо бы этот ролик продублировать с английским текстом и запустить в твиттер пусть все видят технологии евродемократов так же в их странах ,ролик продублирова английск текст запуска твиттер пуст видет технолог евродемократ стран
0,как украина и в каких суровых условиях жила сотни лет очень хорошо говорится в повести гоголя тарас бульба и в романе иванычука мальвы с европы к которой хотят многие интегрироваться шла речь посполита за которой стояла германия и австрия с юго запада османская империя за которой стояла англия и в таких условиях казаки держались очень длительное время к слову им помогали казаки с дона и кубани малочисленное казачество и наоборот только когда произошло воссоединение украины с россией вмешались регулярные царские войска суворов потемкин ушаков выбили турков и усмирили поляков к тому же о чем теперь не говорят можно лишь незначительно обнаружить у гоголя в тарас бульба так это духовный финансовый судный гнет коренного населения украйны со стороны жидов недаром им жидам запрещено было находиться на территории россии а после воссоединения украйны с россией им было ограничено перемещение и только с отменой крепостного права в году и появились послабления для жидов и те хлынули осваивать территории открывали кабаки брали в качестве закладных у вольных но теперь спаиваемых крестьян землю но это другая история напоминаю к тому что коренным украинцам особенно досталось от жидовни и это способствовало зарождению особого на генетическом уровне чувства опасности края и сейчас словно не было освободительных войн после культурных научных социальных побед за последние четверть века украйне досталось от жидов сполна после уничтожения ссср млн украйна с мощным промышленным сегментом с высочайшем уровнем культуры и лучшего среднего и высшего образования самое доступное и эффективное в ссср мощной армией флотом ядерным оружием представляла разностороннюю опасность для промышленных и экономических гигантов европы как англия германия франция еще один игрок не допустим тем более всегда существует что придут к власти националисты хорошо знающие прошлое и чего еще захотят европе мстить вот и запустили украйну под нож женщин в бордели всего мира мужчин в криминал торгашество мздоимство словом маргинализация населения и европейская интеграция это завершающий аккорд украйна должна быть целой и независимой в первую очередь от жидов политиков и жидов алигархов в россии не на шутку перепугались ведь сперва относительно молчаливо но поддерживали майдан все от правозащитников так называемых деятелей культуры до аналитиков журналистов и политологов но как только на майдане инициативу стали перехватывать националисты и поколотили парочку жидов сразу вышеперечисленная россиянская общественность взбудоражилась только и слышно нам не нужно антисемитское государство под боком они хорошо знают что сделали очень много зла и как только националисты придут к власти в украйне так сразу русские националисты на территории украйны начнут формировать дивизии для похода на москву вот и существует угроза раскола украины этого нужно любыми путями избежать избежать раскола украйна должна быть свободной ,украин как суров услов жит сотн год очен говор повест гогол тарас бульб рома иванычук мальв европ котор хотет мног интегрирова идт реч поспол котор стоя герман австр юг запад османск импер котор стоя англ так услов казак держа очен длительн врем слов помога казак дон кубан малочислен казачеств наоборот происход воссоединен украин росс вмешива регулярн царск войск сувор потемкин ушак выбива турк усмиря поляк то говор лиш незначительн обнаружива гогол тарас бульб эт духовн финансов судн гнет корен населен украйн сторон жид недар жид запреща наход территор росс воссоединен украйн росс ограничива перемещен отм крепостн прав год появля послаблен жид тот хлынут осваива территор открыва кабак брат качеств закладн вольн спаива крестьянин земл эт друг истор напомина то корен украинец особен достава жидовн эт способствова зарожден особ генетическ уровен чувств опасн кра словн освободительн войн культурн научн социальн побед последн четверт век украйн достава жид сполн уничтожен ссср млн украйн мощн промышлен сегмент высок уровен культур хорош средн высок образован сам доступн эффективн ссср мощн арм флот ядерн оруж представля разносторон опасн промышлен экономическ гигант европ англ герман франц игрок допуска существова прийт власт националист знат прошл захотет европ мстит запуска украйн нож женщин бордел мир мужчин кримина торгашеств мздоимств слов маргинализац населен европейск интеграц эт заверша аккорд украйн должн цел независим перв очеред жид политик жид алигарх росс шутк перепуга сперв относительн молчалив поддержива майда правозащитник называ деятел культур аналитик журналист политолог майда инициатив станов перехватыва националист поколот парочк жид сраз вышеперечислен россиянск обществен взбудоражива слышн мы нужн антисемитск государств бок знат сдела очен зло националист прийт власт украйн сраз русск националист территор украйн начина формирова дивиз поход москв существова угроз раскол украин нужн люб пут избега избега раскол украйн должн свободн
0,не выпускайте янукевича из страны может свалить в беларусь на вертолете ,выпуска янукевич стран свалива белар вертолет
0,а еще она вообще не понимает что несет ,вообщ понима нест
